invoice_no,vendor,date,description,quantity,rate
INV-1000,Carrier B,2025-08-03,Storage fee,4,120
INV-1001,Carrier C,2025-08-14,Storage fee,4,100
INV-1001,Carrier C,2025-08-14,pallet fee,5,50
INV-1001,Carrier C,2025-08-14,docking charge,5,100
INV-1002,Carrier B,2025-08-16,pallet fee,4,120
INV-1002,Carrier B,2025-08-16,docking charge,8,120
INV-1003,Carrier C,2025-08-31,pallet fee,6,150
INV-1003,Carrier C,2025-08-31,docking charge,5,150
INV-1004,Carrier C,2025-08-15,Handling fee,5,50
INV-1004,Carrier C,2025-08-15,Storage fee,10,120
INV-1004,Carrier C,2025-08-15,pallet fee,8,150
INV-1005,Carrier C,2025-08-20,fuel adj,10,100
INV-1005,Carrier C,2025-08-20,Storage fee,7,150
INV-1005,Carrier C,2025-08-20,pallet fee,4,50
INV-1006,Carrier A,2025-08-30,Storage fee,1,150
INV-1006,Carrier A,2025-08-30,fuel adj,3,150
INV-1006,Carrier A,2025-08-30,pallet fee,4,100
INV-1007,Carrier B,2025-08-03,Handling fee,2,120
INV-1007,Carrier B,2025-08-03,docking charge,5,100
INV-1007,Carrier B,2025-08-03,pallet fee,6,120
INV-1008,Carrier B,2025-08-12,docking charge,3,150
INV-1008,Carrier B,2025-08-12,fuel adj,8,75
INV-1008,Carrier B,2025-08-12,Storage fee,7,120
INV-1009,Carrier C,2025-08-18,fuel adj,4,100
INV-1009,Carrier C,2025-08-18,Handling fee,2,100
INV-1009,Carrier C,2025-08-18,pallet fee,5,75
